,index,c5_id,input,head,relation,tail
3610,2045,19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,CORNFIELD,has part,TAKEOFF ROLL
3611,2046,19970810025099I,LOST OIL PRESSURE NR2 ENGINE. LANDED MDT. OIL CAP CAME LOOSE. SIPHENED OIL PUT IN SEVEN QTS CONTINUED TO SVH.      ,SIPHENED,product or material produced,OIL
3612,2046,19970810025099I,LOST OIL PRESSURE NR2 ENGINE. LANDED MDT. OIL CAP CAME LOOSE. SIPHENED OIL PUT IN SEVEN QTS CONTINUED TO SVH.      ,SVH,product or material produced,OIL
3613,2047,19970818028399I,"NARRATIVE: PILOT ADVISED THAT AFTER DEPARTURE ALL RADIOS WENT OUT. HE CIRCLED PATTERN, CHECKED ELECTRICAL SYSTEM AN",PILOT,has part,RADIOS
3614,2047,19970818028399I,"NARRATIVE: PILOT ADVISED THAT AFTER DEPARTURE ALL RADIOS WENT OUT. HE CIRCLED PATTERN, CHECKED ELECTRICAL SYSTEM AN",RADIOS,part of,PILOT
3615,2048,19970828030389I,"NARRATIVE: ON AUGUST 28, 1997, AT 1730 EDT N9401P PILOTED BY WARREN R. LUMPKINS, LOST POWER ON TAKEOFF FROM THE LIL",N9401P PILOTED BY WARREN R. LUMPKINS,point in time,"AUGUST 28, 1997"
3616,2049,19970416006029A,FOREST FIRE FLIGHT. FILLED WATER BUCKET. LOUD BANK. LOST POWER. AUTOROTATED TO TREES. ROTOR DRIVE SHAFT FAILED. (-2,ROTOR DRIVE SHAFT,has part,TREES
3617,2049,19970416006029A,FOREST FIRE FLIGHT. FILLED WATER BUCKET. LOUD BANK. LOST POWER. AUTOROTATED TO TREES. ROTOR DRIVE SHAFT FAILED. (-2,TREES,part of,ROTOR DRIVE SHAFT
3618,2050,19970417009999A,SKIDDED AND NOSED OVER LANDING ON 900 FT LONG GRAVEL STRIP. FOUND SPRAY CAN WEDGED UNDER RIGHT RUDDER PEDAL.       ,GRAVEL,different from,PEDAL
3619,2050,19970417009999A,SKIDDED AND NOSED OVER LANDING ON 900 FT LONG GRAVEL STRIP. FOUND SPRAY CAN WEDGED UNDER RIGHT RUDDER PEDAL.       ,PEDAL,different from,GRAVEL
3620,2051,19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,TIRED TAXI,has effect,ATTACHE
3621,2051,19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,ATTACHE,has cause,TIRED TAXI
3622,2052,19970423012889A,THE SCHEDULED COMMUTER FLIGHT WAS AT CRUISE ALTITUDE WHEN THE CARGO DOOR OPENED IN FLIGHT AND STRUCK THE SIDE OF TH,John F. Kennedy School of Government,part of,Harvard University
3623,2052,19970423012889A,THE SCHEDULED COMMUTER FLIGHT WAS AT CRUISE ALTITUDE WHEN THE CARGO DOOR OPENED IN FLIGHT AND STRUCK THE SIDE OF TH,Harvard University,subsidiary,John F. Kennedy School of Government
3624,2053,19971004032329I,NARRATIVE: MR. COBB STATED THAT HE PERFORMED A NORMAL PREFLIGHT AND SUMPED FUEL BEFORE AND AFTER REFUELING. DURING ,FUEL,has effect,REFUELING
3625,2053,19971004032329I,NARRATIVE: MR. COBB STATED THAT HE PERFORMED A NORMAL PREFLIGHT AND SUMPED FUEL BEFORE AND AFTER REFUELING. DURING ,REFUELING,has cause,FUEL
3626,2054,19971011038239I,NARRATIVE: THE PILOT CONTACTED THE INVESTIGATION INSPECTOR SHORTLY AFTER THIS INCIDENT OCCURRED AND PROVIDED THE FO,INSPECTOR,field of this occupation,INVESTIGATION
3627,2054,19971011038239I,NARRATIVE: THE PILOT CONTACTED THE INVESTIGATION INSPECTOR SHORTLY AFTER THIS INCIDENT OCCURRED AND PROVIDED THE FO,INVESTIGATION,practiced by,INSPECTOR
3628,2055,19970921027739A,"CRASHED ON TAKEOFF, OTHER CIRCUMSTANCES ARE UNKNOWN. (.4)THE PILOT WAS PLANNING TO FERRY HIS AIRPLANE FROM A PRIVAT",PILOT,item operated,AIRPLANE
3629,2055,19970921027739A,"CRASHED ON TAKEOFF, OTHER CIRCUMSTANCES ARE UNKNOWN. (.4)THE PILOT WAS PLANNING TO FERRY HIS AIRPLANE FROM A PRIVAT",AIRPLANE,operator,PILOT
3630,2056,19970514014339A,RUDDER BLOCKED LANDING. RAN OFF SIDE RUNWAY. GROUND LOOPED. OIL CAN ROLLED UNDER LEFT PEDAL FROM BACK FLOOR AREA. (,OIL,different from,PEDAL
3631,2056,19970514014339A,RUDDER BLOCKED LANDING. RAN OFF SIDE RUNWAY. GROUND LOOPED. OIL CAN ROLLED UNDER LEFT PEDAL FROM BACK FLOOR AREA. (,PEDAL,different from,OIL
3632,2057,19971003029949A,FLOAT EQUIPPED PA12 FOUND FLOATING UP SIDE DOWN IN LAKE. PILOT NOT FOUND IN DEEP LAKE.  SEEN PATCHING A FLOAT PRIOR,FLOAT EQUIPPED PA12,instance of,FLOAT
3633,2058,19971118038949A,ENGINE QUIT ENROUTE. TORE OFF NOSE GEAR LANDING IN A SWAMP. OIL DIPSSTICK CAME OFF. FAILED TO SECURE IT ON PREFLIGH,OIL DIPSSTICK,subclass of,ENROUTE
3634,2059,19971121040659A,"NARRATIVE: ON NOVEMBER 21, 1997, AT APPROXIMATELY 1130 LOCAL EST, A DC-9-15F, N564PC, OPERATED BY KITTY HAWK AIRCAR",KITTY HAWK AIRCAR,item operated,DC-9-15F
3635,2060,19970531012249A,"AIRCRAFT ENGINE QUIT AND PILOT MADE EMERGENCY LANDING, ROLLED OVER SEVERAL TIMES. (.4)INADEQUATE PREFLIGHT BY THE P",PILOT,uses,ENGINE
3636,2060,19970531012249A,"AIRCRAFT ENGINE QUIT AND PILOT MADE EMERGENCY LANDING, ROLLED OVER SEVERAL TIMES. (.4)INADEQUATE PREFLIGHT BY THE P",ENGINE,used by,PILOT
3637,2061,19971107045709I,"AS A RESULT OF IMPROPER PREFLIGHT PROCEDURES, THE ACFT TOOK OFF WITH A RIG PIN INSERTED IN THE ELEVATOR. THE PILOT ",ACFT,has part,ELEVATOR
3638,2061,19971107045709I,"AS A RESULT OF IMPROPER PREFLIGHT PROCEDURES, THE ACFT TOOK OFF WITH A RIG PIN INSERTED IN THE ELEVATOR. THE PILOT ",ELEVATOR,part of,ACFT
3639,2062,19971222043699I,"NARRATIVE: ON MONDAY, DECEMBER 22, 1997, AT 0948 PST, A PIPER ARROW, PA-28R-200, N15428, HAD AN ENGINE FAILURE 15 N",N15428,point in time,"DECEMBER 22, 1997"
3640,2063,19970614017779I,"NARRATIVE: CONTINENTAL AIRLINES INC. FLIGHT COA142 DEPARTED COS ENROUTE TO EWR, JUNE 14, 1997. AFTER TAKE-OFF, THE ",CONTINENTAL AIRLINES INC.,airline hub,EWR
3641,2064,19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,FUEL LEVER,subclass of,ENGINE
3642,2065,19971213041139A,LOST POWER ENROUTE. FORCE LANDED WEST OF AIRPORT. NOSED OVER IN MUD. 175 NOT FLOWN 10YRS. ONLY OIL CHGE FUEL FLUSH.,CHGE,product or material produced,FUEL
3643,2066,19970621015399I,UNABLE SAFE GEAR FOR LANDING. LOST RIGHT ENGINE DUE LOW FUEL. LANDED GEAR UP. FAILED USE PROPER EMERGENCY PROCEDURE,SAFE GEAR FOR LANDING,different from,LANDED GEAR UP
3644,2066,19970621015399I,UNABLE SAFE GEAR FOR LANDING. LOST RIGHT ENGINE DUE LOW FUEL. LANDED GEAR UP. FAILED USE PROPER EMERGENCY PROCEDURE,LANDED GEAR UP,different from,SAFE GEAR FOR LANDING
3645,2067,19971231043709I,NARRATIVE: COMMERCIAL PILOT DID NOT PROPERLY PREFLIGHT A/C. COWLING DETACHED DURING TAKE-OFF.                      ,COWLING,different from,PREFLIGHT A/C
3646,2067,19971231043709I,NARRATIVE: COMMERCIAL PILOT DID NOT PROPERLY PREFLIGHT A/C. COWLING DETACHED DURING TAKE-OFF.                      ,PREFLIGHT A/C,different from,COWLING
3647,2068,19980109000199A,PILOT DID NOT PERFORM PREFLIGHT CHECK AND FAILED TO REMOVE GUST LOCK FROM FLIGHT CONTROLS. STURCK TREES END OF RUN ,STURCK TREES,use,PREFLIGHT CHECK
3648,2069,19980111005849I,NARRATIVE: WHAT STARTED AS AN AIRCRAFT GROUND MAINTENANCE CHECK TURNED INTO AN ABORTED TAKEOFF DUE TO LACK OF ANY A,GROUND MAINTENANCE CHECK,facet of,AIRCRAFT
3649,2070,19980119005169I,"NARRATIVE: PIC DID NOT ADEQUATELY PREFLIGHT N1319E, AND CONSEQUENTLY FAILED TO NOTICE THAT THE FUEL TANKS WERE NEAR",N1319E,operator,PIC
3650,2071,19980120005979A,DRIFTED LANDING ROLL. HIT DRIFTED SNOW AND PLOWED DIRFTS. SKIDDED SIDEWAYS OFF RWY. INCORRECT RWY CONDITION REPORT.,DRIFTED LANDING ROLL,subclass of,DRIFTED SNOW AND PLOWED DIRFTS
3651,2073,19970713029619I,NARRATIVE: ON SCENE INVESTIGATION ON 7-13-97 FOUND AIRCRAFT PARKED IN A WHEAT FIELD WITH THE LEFT MAIN GEAR COLLAPS,AIRCRAFT,has part,MAIN GEAR
3652,2073,19970713029619I,NARRATIVE: ON SCENE INVESTIGATION ON 7-13-97 FOUND AIRCRAFT PARKED IN A WHEAT FIELD WITH THE LEFT MAIN GEAR COLLAPS,MAIN GEAR,part of,AIRCRAFT
3653,2074,19980216001219A,LOST POWER BOTH ENGINES. DESTOYED LANDING. HAD KNOWN MECH PROBLEMS. FAILED FEATHER. STALLED. FUEL PUMPS INOP. (-23),FUEL PUMPS INOP,subclass of,ENGINES
3654,2075,19970727019809A,DOOR OPENED ON CLIMBOUT. BECAME DISTRUBED BELEIVING EMERGENCY. LANDED SHORT. SHEARED GEAR. SLID INTO TREE. (.4)BEFO,(4)BEFO,subclass of,BELEIVING EMERGENCY
3655,2076,19980319013279A,V1 ROTATION PREMATURE. STALLED IMPACTED. SLIDE OFF RWY. ATTEMPT DEPART R ENGINE INOP NOT SIC. POSSIBLE ILLEGAL OPS.,INOP,opposite of,SIC
3656,2076,19980319013279A,V1 ROTATION PREMATURE. STALLED IMPACTED. SLIDE OFF RWY. ATTEMPT DEPART R ENGINE INOP NOT SIC. POSSIBLE ILLEGAL OPS.,SIC,opposite of,INOP
3657,2077,19970731020559A,SMOKE IN COCKPIT RETURNING TO BASE PILOT PANICKED. CRASH LANDED. APPARENTLY ACTIVATED THE WIND CHECK SMOKER.       ,COCKPIT,has part,WIND CHECK SMOKER
3658,2077,19970731020559A,SMOKE IN COCKPIT RETURNING TO BASE PILOT PANICKED. CRASH LANDED. APPARENTLY ACTIVATED THE WIND CHECK SMOKER.       ,WIND CHECK SMOKER,part of,COCKPIT
3659,2078,19980322004029A,THRU A ROD ON CLIMBOUT. SMOKE FIRE. PILOT OVERCOME BY SMOKE. STALL SPIN AND BURNED ON IMPACT. OUT OF CG UNAIRWORTH ,STALL SPIN AND BURNED ON IMPACT,manufacturer,SMOKE
3660,2078,19980322004029A,THRU A ROD ON CLIMBOUT. SMOKE FIRE. PILOT OVERCOME BY SMOKE. STALL SPIN AND BURNED ON IMPACT. OUT OF CG UNAIRWORTH ,STALL SPIN AND BURNED ON IMPACT,manufacturer,SMOKE
3661,2079,19970810027479I,NARRATIVE: PILOT FUELED AIRCRAFT AND PLACED FUEL SELECTOR ON LEFT TANK. PILOT BOARDED HIS TWO DOGS AND UPON HIS ENT,PILOT,uses,AIRCRAFT
3662,2079,19970810027479I,NARRATIVE: PILOT FUELED AIRCRAFT AND PLACED FUEL SELECTOR ON LEFT TANK. PILOT BOARDED HIS TWO DOGS AND UPON HIS ENT,AIRCRAFT,used by,PILOT
3663,2080,19980409012039I,NARRATIVE: UPON LANDING AIRCRAFT PILOT LOST CONTROL (UNKNOWN REASON) AND RECOVERY POSITIONED AIRCRAFT PERPENDICULAR,AIRCRAFT,used by,PILOT
3664,2080,19980409012039I,NARRATIVE: UPON LANDING AIRCRAFT PILOT LOST CONTROL (UNKNOWN REASON) AND RECOVERY POSITIONED AIRCRAFT PERPENDICULAR,PILOT,uses,AIRCRAFT
3665,2080,19980409012039I,NARRATIVE: UPON LANDING AIRCRAFT PILOT LOST CONTROL (UNKNOWN REASON) AND RECOVERY POSITIONED AIRCRAFT PERPENDICULAR,PILOT,uses,AIRCRAFT
3666,2080,19980409012039I,NARRATIVE: UPON LANDING AIRCRAFT PILOT LOST CONTROL (UNKNOWN REASON) AND RECOVERY POSITIONED AIRCRAFT PERPENDICULAR,AIRCRAFT,used by,PILOT
3667,2081,19970811028149I,GROUND LOOPED TO LEFT LANDING. FOLDED RIGHT GEAR. WING TIP HIT. PILOT ACCIDENTLY PULLED BRAKE ON INSTEAD CARB HEAT.,PILOT ACCIDENTLY PULLED BRAKE,has cause,CARB HEAT
3668,2081,19970811028149I,GROUND LOOPED TO LEFT LANDING. FOLDED RIGHT GEAR. WING TIP HIT. PILOT ACCIDENTLY PULLED BRAKE ON INSTEAD CARB HEAT.,CARB HEAT,has effect,PILOT ACCIDENTLY PULLED BRAKE
3669,2082,19980415008799I,"NARRATIVE: AT THE DIRECTION OF AIR TRAFFIC CONTROL (ATC), THE AIRCRAFT WAS HOLDING FOR DEPARTURE CLEARANCE AT RUNWA",RUNWA,instance of,AIR TRAFFIC CONTROL
3670,2083,19980421014779I,LOST POWER DURING DUAL STALLS. PROP STOPPED. UNABLE ROTATE. LANDED ROUGH FIELD. RIGHT GEAR BROKE. NO STC AUTO FUEL.,STC,product or material produced,AUTO
3671,2084,19970813034319I,"NARRATIVE: PILOT REPORTED ENGINE SPUTTERED AND QUIT ON APPROACH TO ANOKA, MN AIRPORT. TRIED RESTARTING WITH NO EFFE",ANOKA,located in the administrative territorial entity,MN
3672,2085,19980426007599A,DEPARTED WITH CONTROL LOCKS ENGAGED. LOST CONTROL. (.4)A WITNESS OBSERVED THE AIRPLANE DEPART RUNWAY 5 AND CLIMB AT,Runway 5,part of,CLIMB
3673,2085,19980426007599A,DEPARTED WITH CONTROL LOCKS ENGAGED. LOST CONTROL. (.4)A WITNESS OBSERVED THE AIRPLANE DEPART RUNWAY 5 AND CLIMB AT,CLIMB,has part,Runway 5
3674,2086,19970817030449A,RAN OUT OF FUEL EN ROUTE DUE SIPHONING FROM RIGHT FUEL TANK CAP. STRUCK A TRUCK LANDING ON A HIGHWAY. CAP NOT SECUR,FUEL EN ROUTE,has part,FUEL TANK CAP
3675,2086,19970817030449A,RAN OUT OF FUEL EN ROUTE DUE SIPHONING FROM RIGHT FUEL TANK CAP. STRUCK A TRUCK LANDING ON A HIGHWAY. CAP NOT SECUR,FUEL TANK CAP,part of,FUEL EN ROUTE
3676,2087,19980427007849A,CARGO STRAP BLEW OUT OF BAGGAGE CONTAINER AND WRAPPED AROUND TAIL ROTOR. DAMAGE PITCH LINKS AND GEAR BOX. SPUN IN. ,CARGO STRAP,part of,BAGGAGE CONTAINER
3677,2087,19980427007849A,CARGO STRAP BLEW OUT OF BAGGAGE CONTAINER AND WRAPPED AROUND TAIL ROTOR. DAMAGE PITCH LINKS AND GEAR BOX. SPUN IN. ,CARGO STRAP,part of,TAIL ROTOR
3678,2087,19980427007849A,CARGO STRAP BLEW OUT OF BAGGAGE CONTAINER AND WRAPPED AROUND TAIL ROTOR. DAMAGE PITCH LINKS AND GEAR BOX. SPUN IN. ,BAGGAGE CONTAINER,has part,CARGO STRAP
3679,2087,19980427007849A,CARGO STRAP BLEW OUT OF BAGGAGE CONTAINER AND WRAPPED AROUND TAIL ROTOR. DAMAGE PITCH LINKS AND GEAR BOX. SPUN IN. ,TAIL ROTOR,has part,CARGO STRAP
3680,2088,19980504017879I,FAILED TO GET RELEASE FROM MAINTERNANCE. OPEN REPAIR ORDER EXISTED DISCONNECTED NLF DOOR JAMMED GEAR CAUSED COLLAPS,JAMMED GEAR,part of,MAINTERNANCE
3681,2089,19980505011329A,LOST DIRCTIONAL CONTROL WHEN TAIL CAME UP ON TAKEOFF. VEERED OFF RUNWAY. EQUIPPED WITH LARGE TUNDRA TIRES. (.4) ON ,TUNDRA,part of,TAKEOFF
3682,2090,19980503018319I,LANDED IN FIELD AFTER POWER LOSS. FUEL CONTAMINATED BY WATER. RT TANK DRAIN RUSTED CLOSED.                         ,TANK DRAIN,product or material produced,FUEL
3683,2091,19980513024169I,CANOPY NOT LATCHED PROPERLY BEFORE TAKE OFF AND DEPARTED AIRCRAFT ON APPROACH. PUNCTURED WING. NOT ON CHECK LIST.  ,PUNCTURED WING,subclass of,CANOPY
3684,2092,19970906033429I,NARRATIVE: TOTAL ELECTRICAL SYSTEM FAILURE OCCURRED DURING ALTERNATOR COOLING TESTS. PILOT ATTEMPTED TO EXTEND LAND,NARRATIVE,uses,TESTS
3685,2092,19970906033429I,NARRATIVE: TOTAL ELECTRICAL SYSTEM FAILURE OCCURRED DURING ALTERNATOR COOLING TESTS. PILOT ATTEMPTED TO EXTEND LAND,TESTS,used by,NARRATIVE
3686,2093,19980523010519A,AERIAL MOOSE SURVEY. LOST POWER LOW ALTITUDE. STRUCK TREES. WATER IN FUEL. HAD SAT OUT IN ALL NIGHT RAIN. (.4)THE C,RAIN,has part,FUEL
3687,2094,19980528020409I,GEAR RETRACTION DUE GEAR SELECTOR IN THE UP POSITION. SETTLED BACK TO RUNWAY AFTER INITIAL LIFT OFF.               ,GEAR RETRACTION,has part,GEAR SELECTOR
3688,2094,19980528020409I,GEAR RETRACTION DUE GEAR SELECTOR IN THE UP POSITION. SETTLED BACK TO RUNWAY AFTER INITIAL LIFT OFF.               ,GEAR SELECTOR,part of,GEAR RETRACTION
3689,2095,19970914026909A,"AIRCRAFT CRASHED ON LANDING. (.4) ON SEPTEMBER 14, 1997, AT 0830 ALASKA DAYLIGHT TIME, A PIPER PA-12 AIRPLANE, N789",PA-12,operator,PIPER
3690,2096,19980603020499I,CHECK RIDE FLIGHT UNABLE EXTEND NOSE GEAR. GEAR IN OVER CENTER. TUBE ASSEMBY BENT. CRACKED. CAUSAL UNKNOWN.        ,TUBE ASSEMBY BENT,instance of,GEAR
3691,2097,19970921027639A,ENGINE MISSING ON CLIMBOUT. REVERSED COURSE. LANDED DOWNWIND LONG. RAN OFF END RUNWAY. S TRUCK A RESIDENCE. (.4)THE,CLIMBOUT,different from,RUNWAY
3692,2097,19970921027639A,ENGINE MISSING ON CLIMBOUT. REVERSED COURSE. LANDED DOWNWIND LONG. RAN OFF END RUNWAY. S TRUCK A RESIDENCE. (.4)THE,RUNWAY,different from,CLIMBOUT
3693,2098,19980628015149A,"AFTER TOUCH AND GO ACFT CLIMBED TO 299 FT, ENGINE SPUTTERED AND QUIT, ACFT LANDED IN A BEAN FIELD. (.4) IN THE WRIT",ACFT,located in the administrative territorial entity,BEAN FIELD
3694,2098,19980628015149A,"AFTER TOUCH AND GO ACFT CLIMBED TO 299 FT, ENGINE SPUTTERED AND QUIT, ACFT LANDED IN A BEAN FIELD. (.4) IN THE WRIT",ACFT,located in the administrative territorial entity,BEAN FIELD
3695,2099,19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA",SUNMER,located in the administrative territorial entity,IOWA
3696,2100,19980701015829A,"ACFT ENGINE LOST POWER ON CLIMBOUT AND PILOT MADE AN EMERG LANDING, SPEARFISH, SD. (.4)THE AIRPLANE SUFFERED A PART",SPEARFISH,located in the administrative territorial entity,SD
3697,2101,19980707029339I,GEAR COLLAPSED DURING TAKEOFF ROLL AT THE POINT OF ROATION RESULTING IN THE NOSE STRIKING THE GROUND WITH SUBSEQUEN,TAKEOFF ROLL,has part,NOSE STRIKING THE GROUND
3698,2101,19980707029339I,GEAR COLLAPSED DURING TAKEOFF ROLL AT THE POINT OF ROATION RESULTING IN THE NOSE STRIKING THE GROUND WITH SUBSEQUEN,TAKEOFF ROLL,has part,SUBSEQUEN
3699,2101,19980707029339I,GEAR COLLAPSED DURING TAKEOFF ROLL AT THE POINT OF ROATION RESULTING IN THE NOSE STRIKING THE GROUND WITH SUBSEQUEN,NOSE STRIKING THE GROUND,part of,TAKEOFF ROLL
3700,2101,19980707029339I,GEAR COLLAPSED DURING TAKEOFF ROLL AT THE POINT OF ROATION RESULTING IN THE NOSE STRIKING THE GROUND WITH SUBSEQUEN,NOSE STRIKING THE GROUND,part of,SUBSEQUEN
3701,2101,19980707029339I,GEAR COLLAPSED DURING TAKEOFF ROLL AT THE POINT OF ROATION RESULTING IN THE NOSE STRIKING THE GROUND WITH SUBSEQUEN,SUBSEQUEN,part of,TAKEOFF ROLL
3702,2101,19980707029339I,GEAR COLLAPSED DURING TAKEOFF ROLL AT THE POINT OF ROATION RESULTING IN THE NOSE STRIKING THE GROUND WITH SUBSEQUEN,SUBSEQUEN,part of,NOSE STRIKING THE GROUND
3703,2102,19971004036839I,LOST OIL PRESSURE. LANDED F18. INDICATES SMALL OIL LEAKS AND OIL NOT CHECKED FOR SOME TIME. NO OIL IN ENGINE.      ,LEAK,has cause,OIL
3704,2103,19980702015809A,"ACFT CRASHED AFTER TAKEOFF, BLISSFIELD, MI (.19)ON JULY 2, 1998, AT 0800 EASTER DAYLIGHT TIME (EDT), W WICKS FLY BA",ACFT CRASHED AFTER TAKEOFF,location,"BLISSFIELD, MI"
3705,2103,19980702015809A,"ACFT CRASHED AFTER TAKEOFF, BLISSFIELD, MI (.19)ON JULY 2, 1998, AT 0800 EASTER DAYLIGHT TIME (EDT), W WICKS FLY BA",ACFT CRASHED AFTER TAKEOFF,point in time,"JULY 2, 1998"
3706,2104,19971008030469I,"NARRATIVE: ON OCTOBER 7, 1997 AT APPROXIMATELY 1800 EDT A BEECHCRAFT BE58, N18BZ DEPARTED FROM GAYLORD, MI (GLR) WI",MI,shares border with,WI
3707,2104,19971008030469I,"NARRATIVE: ON OCTOBER 7, 1997 AT APPROXIMATELY 1800 EDT A BEECHCRAFT BE58, N18BZ DEPARTED FROM GAYLORD, MI (GLR) WI",WI,shares border with,MI
3708,2105,19980712030299I,THE PILOT WAS TAXIING THE AIRCRAFT INTO THE WIND WITH THE CONTROLS TIED BACK WITH THE SEAT BELT. THE AIRCRAFT WENT ,PILOT,uses,AIRCRAFT
3709,2105,19980712030299I,THE PILOT WAS TAXIING THE AIRCRAFT INTO THE WIND WITH THE CONTROLS TIED BACK WITH THE SEAT BELT. THE AIRCRAFT WENT ,AIRCRAFT,used by,PILOT
3710,2106,19980729030029A,"THE PILOT ABORTED THE FIRST TAKEOFF DUE TO A ROUGH RUNNING ENINGE. HE PERFORMED A RUN-UP, DETERMINED THAT THE ENGIN",TAKEOFF,has part,ENGIN
3711,2106,19980729030029A,"THE PILOT ABORTED THE FIRST TAKEOFF DUE TO A ROUGH RUNNING ENINGE. HE PERFORMED A RUN-UP, DETERMINED THAT THE ENGIN",ENGIN,part of,TAKEOFF
3712,2107,19980714024869A,(-23)A/C TRIED TO RETURN TO THE AIRPORT AFTER TAKEOFF DUE TO OIL ON THE WINDSHIELDS. INSTALLATION OF THE AIRCRAFT S,TAKEOFF,part of,WINDSHIELDS
3713,2107,19980714024869A,(-23)A/C TRIED TO RETURN TO THE AIRPORT AFTER TAKEOFF DUE TO OIL ON THE WINDSHIELDS. INSTALLATION OF THE AIRCRAFT S,WINDSHIELDS,has part,TAKEOFF
3714,2108,19980716023339I,RIGHT MAIN GEAR FOLDED LANDING AT CGI HAD DEPARTED PRIOR TO MAINTENANCE WORK ON GEAR WAS COMPLETED.                ,Right MAIN GEAR,manufacturer,CGI
3715,2109,19971101031639A,AIRCRAFT IDLE 2 YRS ON A FERRY FLIGHT. LOST RIGHT ENGINE AND PART POWER LEFT ON CLIMBOUT. FUEL FILTERS CLOGGED. (-2,FERRY,item operated,AIRCRAFT IDLE
3716,2111,19980808020069A,"ACFT REPORTED A PROBLEM WITH CABIN PRESSURE AT FL260 AND WAS CLEARED DOWN TO FL150, RADIO AND RADAR CONTACT WAS LOS",CABIN,has part,RADAR
3717,2111,19980808020069A,"ACFT REPORTED A PROBLEM WITH CABIN PRESSURE AT FL260 AND WAS CLEARED DOWN TO FL150, RADIO AND RADAR CONTACT WAS LOS",RADAR,part of,CABIN
3718,2112,19971118040369A,"PILOT RAN LEFT FUEL TANK DRY, FAILING TO SWITCH TO OTHER TANKS. (.4)THE AIRCRAFT'S ENGINE LOST POWER ON FINAL APPRO",FUEL,different from,TANK DRY
3719,2112,19971118040369A,"PILOT RAN LEFT FUEL TANK DRY, FAILING TO SWITCH TO OTHER TANKS. (.4)THE AIRCRAFT'S ENGINE LOST POWER ON FINAL APPRO",TANK DRY,different from,FUEL
3720,2113,19980909023019A,"GLIDER EXPERIENCED AILERON PROBLEMS ON TAKEOFF TOW, AFTER THE ACFT WAS RELEASED FROM THE TOW IT STRUCK A BUSH AND S",AILERON PROBLEMS ON TAKEOFF TOW,has cause,GLIDER EXPERIENCED AILERON PROBLEMS ON TAKEOFF TOW
3721,2114,19980823038089I,"(-5)IFR FLIGHT, REXBURG, IDAHO TO GUNNISON, CO., PILOT REQUESTED DIVERSION TO IDAHO FALLS (IDA) AFTER HAVING SMOKE ",REXBURG,located in the administrative territorial entity,IDAHO
3722,2115,19980916037909A,"(.19)ON SEPTEMBER 16, 1998, ABOUT 2040 EASTERN DAYLIGHT TIME, A CESSNA 152, N307DW, WAS SUBSTANTIALLY DAMAGED DURIN",CESSNA,has part,N307DW
3723,2115,19980916037909A,"(.19)ON SEPTEMBER 16, 1998, ABOUT 2040 EASTERN DAYLIGHT TIME, A CESSNA 152, N307DW, WAS SUBSTANTIALLY DAMAGED DURIN",N307DW,part of,CESSNA
3724,2116,19980826032079A,"ON AUGUST 26, 1998, ABOUT 1805 EDT, A ROGINSON R-22 N9067G, WAS SUBSTANTIALLY DAMAGED DURING A FORCED LANDING IN DU",A FORCED LANDING IN DU,point in time,"AUGUST 26, 1998"
3725,2117,19981003027959A,PILOT WAS PRACTICING TOUCH AND GO LANDINGS WHEN THE ACFT LOST ENGINE POWER AT 200 FEET AND LANDED 1/2 MILE SHORT OF,PILOT,has part,GO LANDINGS
3726,2117,19981003027959A,PILOT WAS PRACTICING TOUCH AND GO LANDINGS WHEN THE ACFT LOST ENGINE POWER AT 200 FEET AND LANDED 1/2 MILE SHORT OF,GO LANDINGS,part of,PILOT
3727,2118,19971223039549A,VISIBILITY REDUCED BY BLOWING SNOW TAXIING ON RAMP. STRUCK A 2FT HIGH PERPENICULAR SNOWBANK. MADE BY SNOW PLOW. (.1,SNOW TAXIING,has part,SNOWBANK
3728,2118,19971223039549A,VISIBILITY REDUCED BY BLOWING SNOW TAXIING ON RAMP. STRUCK A 2FT HIGH PERPENICULAR SNOWBANK. MADE BY SNOW PLOW. (.1,SNOWBANK,part of,SNOW TAXIING
3729,2119,19981018029559A,ACFT CRASHED ON TAKEOFFF AND SUSTAINED SUBSTANTIAL DAMAGE. (.4) THE AIRPLANE WAS TAKING OFF WHEN THE ENGINE QUIT AT,TAKEOFFF,has effect,AIRPLANE WAS TAKING OFF WHEN THE ENGINE QUIT AT
